0,1
好的[emoji],affirm
好的好的,affirm
好的亲,affirm
好滴,affirm
好了,affirm
好了哦,affirm
好那,affirm
好哦,affirm
就补交9月份,affirm
就是,affirm
就这个,affirm
就这样,affirm
居住证有的,affirm
看到了,affirm
可以,affirm
可以的,affirm
可以了,affirm
了解,affirm
了解了,affirm
理解,affirm
俩账户都有,affirm
没错,affirm
没问题,affirm
明白,affirm
明白了,affirm
明白了的,affirm
那好,affirm
那就办吧,affirm
那就这样,affirm
那没事,affirm
嗯,affirm
嗯啊,affirm
嗯咯,affirm
嗯好,affirm
嗯好稍等,affirm
嗯肯定的,affirm
嗯呢,affirm
嗯嗯,affirm
嗯嗯好的,affirm
嗯嗯是的,affirm
哦,affirm
哦对,affirm
哦好的,affirm
哦哦,affirm
哦哦好的,affirm
哦哦哦,affirm
是,affirm
是的,affirm
是这样的,affirm
收费可以,affirm
搜好了,affirm
我有,affirm
我知道,affirm
我最低就可以,affirm
先这样吧不改了,affirm
需要的,affirm
要,affirm
要的,affirm
以前可以,affirm
已经付好啦,affirm
有,affirm
有的,affirm
知道的,affirm
知道了,affirm
直接拍,affirm
做啊,affirm
现在不行,deny
忘了,deny
哦基本用不上,deny
没有交,deny
没有,deny
不用啊,deny
不是,deny
不买,deny
不会,deny
不行,deny
不对了,deny
不对啊,deny
不,deny
别这样,deny
5月没有,deny
这样就算了,deny
这个就算了,deny
要不能补算了,deny
我就只能算了,deny
算了吧,deny
算啦,deny
我没有验证码,deny
我没工行银行卡,deny
58那个进不去,report_issue
一直进不去,report_issue
都没收到,report_issue
最高的吧,no_intent
准备续签居住证了,no_intent
朱嘉佑,no_intent
重新拍了,no_intent
直接淘宝付款吗,no_intent
只需要五险,no_intent
只发工行,no_intent
正规的,no_intent
这个月缴纳啦你看一下,no_intent
这个月的款已经付,no_intent
这个月不用交了,no_intent
这个日期,no_intent
长沙,no_intent
怎么发信息说要停缴了呐,no_intent
在上海,no_intent
在杭州,no_intent
月底交,no_intent
园区的,no_intent
有发票提供吗,no_intent
医保卡什么时候可以使用,no_intent
一个月时间,no_intent
一个月,no_intent
续了哦,no_intent
现在拍,no_intent
五月的,no_intent
我正常缴费,no_intent
我来拍,no_intent
我看到你们会提供截图的什么时候会有呢,no_intent
王成银,no_intent
算这个月交的吗,no_intent
苏州联系地址,no_intent
苏州,no_intent
四月的,no_intent
四月,no_intent
最低基数,no_intent
社保编号,no_intent
上海户籍,no_intent
上海的,no_intent
上海,no_intent
山海,no_intent
全部的,no_intent
企业社保,no_intent
你们自己的公司,no_intent
你们属于人力资源公司吗,no_intent
那我准备付款了,no_intent
那我入职日期填什么,no_intent
那我拍了,no_intent
那加上公积金的话是多少钱,no_intent
昆山的,no_intent
可以只交个人部分吗,no_intent
可以两地同时缴纳吗,no_intent
可以出合同吗,no_intent
就交一个月,no_intent
杭州,no_intent
还受,no_intent
广州,no_intent
公司,no_intent
公积金,no_intent
高新南区没有,no_intent
改价我现在付款,no_intent
费用已付注意查收,no_intent
初中,no_intent
成都,no_intent
不需要重新开户,no_intent
北京,no_intent
54岁,no_intent
5月份的,no_intent
5月的我拍下,no_intent
5月,no_intent
4月几号,no_intent
4月份的,no_intent
4月,no_intent
2月份的,no_intent
18621321922手机,no_intent
1856啊,no_intent
1.20E+20,no_intent
市区也行,no_intent
上海的以前没交过,no_intent
[表情]不知道的可以不写吗,complicated
[表情]还要分开啊,complicated
[表情]可能会交不上是吧,complicated
[表情]那活不到60呢,complicated
[图片]单月是这个吗,complicated
1年之内这个业务是暂停的是吧,complicated
10月份开始给我缴纳,complicated
10月公司可以交的,complicated
10月开始,complicated
1000可以贷50万吗,complicated
120元是怎么回事,complicated
120656包括哪些费用,complicated
120656是每月费用吗,complicated
15号之前下单都可以交是吧,complicated
234这几个月的比例能不能给我下,complicated
23的基数是多少4月的是多少,complicated
2000多吧,complicated
3500的,complicated
3500觉,complicated
39735那个是什么呀,complicated
4月的不是你们帮我缴纳的嘛,complicated
4月份邮箱有通知,complicated
4月离职了,complicated
40的拍5份是吧,complicated
5月份的你们这边还是会交吧,complicated
5月份的现在下单吗,complicated
5月份公司会交但是我马上辞职了6月份开始社保就要断了,complicated
5月开始社保费用下调了,complicated
6月份可以补交到2018年11月份的社保吗,complicated
7号之后,complicated
7月底刚办完深户，准备申请入户补贴，应该缴哪一档的社保,complicated
7月以后退吗,complicated
70每月乘12个月,complicated
840呀怎么是130601了,complicated
9月26日入职,complicated
9月份参保的话参保信息提交的截止时间是,complicated
9月截止了,complicated
nono最晚26,complicated
办日本签证,complicated
必须是现金对吧,complicated
不能中断,complicated
不说是查询晚啊,complicated
不要工资个税,complicated
补交和正常交有什么区别,complicated
差价那个链接,complicated
承诺人王贞,complicated
单独交生育险,complicated
但是不能断,complicated
但是还没更新,complicated
调整到多少了,complicated
多少个月,complicated
费用怎么算的,complicated
封存了,complicated
刚离职不想断,complicated
给你们不搭嘎的,complicated
公积金断了,complicated
公积金有点用吗,complicated
公司帮忙交,complicated
公司帮我交了,complicated
工资呢,complicated
还得重新交吗,complicated
还能改吗,complicated
还是必须裸的,complicated
还是只买一份,complicated
和社保卡吗,complicated
后来休息一年,complicated
户籍就是户口,complicated
花呗算信用卡么,complicated
黄孟琪的继续缴,complicated
基数怎么填写,complicated
积分之后再说,complicated
缴费基数填什么,complicated
今天刚离职,complicated
今天看还是停缴,complicated
就去柜台去啦,complicated
居住证代办吗,complicated
居住证咋弄,complicated
可以代办吗,complicated
老人也不行是么,complicated
离职日期,complicated
六月就停缴,complicated
六月中旬才开始,complicated
麻烦通过下,complicated
没去更新过,complicated
没有劳动合同吗,complicated
没有其他办法吗,complicated
明天可以吗,complicated
目前封存不了,complicated
那就没办法了吗,complicated
那能有合同吗,complicated
那我换家吧,complicated
那现在要填什么,complicated
那最多能贷多少,complicated
能办理社保转移吗,complicated
能领多长时间,complicated
你觉得有必要吗,complicated
你没说不能调啊,complicated
你们试一下嘛,complicated
你这边有渠道吗,complicated
亲请问你们之前有帮回国留学生缴社保吗,complicated
如果还是不行,complicated
入职日期填什么,complicated
上班呢,complicated
上家刚转出来,complicated
社保是变高了吗,complicated
社保有医保卡,complicated
社保涨了是吗,complicated
生育金还没发,complicated
是否可以转社保,complicated
是因为稽查严了,complicated
所以才考虑苏州,complicated
所以需要转移,complicated
她补三四,complicated
同事补三四,complicated
同事也需要,complicated
退完我再拍,complicated
外地不让补了,complicated
外地的能交吧,complicated
外地没有工作,complicated
外地人,complicated
为什么涨价了,complicated
我不能断交,complicated
我才三年,complicated
我的服务费到期了,complicated
我还能续上吗,complicated
我那边才好交,complicated
我怕是补缴,complicated
我现在离职状态,complicated
我想问下，这个广州社保的生育报销是什么，代缴的社保也能享受吗,complicated
我要找别家代缴,complicated
我一直上海工作,complicated
我已经入住,complicated
我已经重新拍了,complicated
我原来提交过,complicated
我找到工作了,complicated
我找人注册一下,complicated
我这个月失业,complicated
我这种情况,complicated
我准备在单位离职.中间有大概两个月不交社保这里可以代缴吗,complicated
无语了你们,complicated
五月的一个月,complicated
下个月我再办卡,complicated
现在付款给你,complicated
现在离职了,complicated
现在是交几月的,complicated
现在是欠费状态,complicated
现在要怎么完成,complicated
相城区也是吗,complicated
小城镇保险,complicated
写上月吧,complicated
新公司需要,complicated
信息表给我,complicated
需要停的对吗,complicated
续交呢,complicated
学历文化程度,complicated
学校要看,complicated
验证码,complicated
验证码给我吓,complicated
要连续,complicated
要验证码,complicated
也没查到,complicated
也是老客户,complicated
一般写哪天,complicated
一月未缴费,complicated
已经减掉了,complicated
银行卡的照片,complicated
用社保卡,complicated
有必要交最高吗,complicated
有对比参照吗,complicated
有客户这么做吗,complicated
有什么区别吗,complicated
在别家做了,complicated
在哪里找,complicated
怎么登陆,complicated
怎么调基,complicated
怎么看有没暂停,complicated
怎么算出来的,complicated
找别家,complicated
这边公司要转入,complicated
之前跟你聊过的,complicated
直接问第三方,complicated
职业填啥,complicated
只能交锦江区吗,complicated
只是额度受影响,complicated
只做当月,complicated
中间空一个月,complicated
住院可以报销吗,complicated
转回河南郑州,complicated
资料已经完成了,complicated
综合保险,complicated
作假的那种,complicated
能提取公积金吗,unsupported_request
公积金提取能做吗,unsupported_request
你家无锡有代缴嘛,unsupported_request
公积金套现可以嘛,unsupported_request
可以提取公积金吗,unsupported_request
提取公积金可以嘛,unsupported_request
这里可以提取公积金嘛,unsupported_request
你们公司的名字是什么,query_company_name
公司名字是啥,query_company_name
缴纳得公司名称是什么,query_company_name
怎么找小程序,query_mini_program
小程序怎么开呢,query_mini_program
小程序怎么开,query_mini_program
小程序,query_mini_program
什么微信小程序,query_mini_program
电话号码是多少,query_phone
方便电话吗,query_phone
方便电话咨询下吗,query_phone
给我你们的电话,query_phone
可以电话联系下吗,query_phone
可以电话咨询吗,query_phone
你电话多少,query_phone
你好单位有固定电话嘛,query_phone
你好这边咨询电话是多少啊,query_phone
你们有电话么,query_phone
你有电话么我电话跟你说下比较清楚,query_phone
你这边电话给我一个,query_phone
亲你们这边有电话咨询吗,query_phone
手机号码,query_phone
我想电话咨询,query_phone
有电话可以直接沟通吗,query_phone
有电话吗,query_phone
有没有电话我明天给你们客服打电话吧,query_phone
有咨询电话嘛,query_phone
你们有微信吗,query_weixin
可以加微信吗,query_weixin
加微信可以吗,query_weixin
有微信吗,query_weixin
补缴跟按时缴有啥区别吗,query_topup
补交是怎样的,query_topup
补交跟按时交有什么差别,query_topup
社保补缴啥意思,query_topup
预调基费什么意思,yutiaojishu
可以后付吗,ask_can_pay_later
我刷卡没事吧,can_use_card
如果我五月有新公司入职你这边还要操作么,check_requirements_employee
是58同城么我找不到58社保那个,contact_us
怎么退,ask_for_refund
怎么拿钱,ask_for_refund
那我先退了吧,ask_for_refund
那你们先退,ask_for_refund
可以退吗,ask_for_refund
帮我退款吧,ask_for_refund
您吧退款处理下,ask_for_refund
[表情]怎么退,ask_for_refund
45月的240的预调基的钱什么时候才可以退,ask_for_refund
请问如果五月份我找到工作了不用你们代缴了社保和公积金是你们直接封存,ask_for_refund
4月的社保交了吗,ask_shebao_status
4月份的社保和公积金已经缴纳了吧,ask_shebao_status
5月几号可以查询,ask_shebao_status
帮我交了吗,ask_shebao_status
公积金交了吗,ask_shebao_status
交好了吗,ask_shebao_status
那我八月份呢,ask_shebao_status
麻烦问下社保公积金交了没,ask_shebao_status
你好五月份时侯输的社保交了吧,ask_shebao_status
你好五月份石后书的社保交了吧,ask_shebao_status
你们可以看到成功了吗,ask_shebao_status
请不要停缴，我明天中午去缴,ask_shebao_status
请问公积金有帮我转出吗,ask_shebao_status
请问我的缴公积金基数是多少，我忘记了,ask_shebao_status
请问我的缴公积金基数是多少我忘记了,ask_shebao_status
我的公积金封存了吗,ask_shebao_status
我的公积金交好了吗,ask_shebao_status
我的公积金转出了吗,ask_shebao_status
我的社保交了吗,ask_shebao_status
我订单进度是这样的应该没有什么问题吧,ask_shebao_status
我想看下账单明细,ask_shebao_status
我这个月需要交多少钱,ask_shebao_status
有缴费明细吗,ask_shebao_status
有具体的明细吗,ask_shebao_status
这边我的缴上了吗,ask_shebao_status
转出了吗,ask_shebao_status
11月10号之前能查询到吗,query_when_check_shebao_status
5月的什么时候能查到,query_when_check_shebao_status
6月什么时候能查到成功缴费信息呢,query_when_check_shebao_status
几号能查到,query_when_check_shebao_status
三月什么时候可以查到,query_when_check_shebao_status
社保什么时候可以查到账情况,query_when_check_shebao_status
什么时候可以查询到,query_when_check_shebao_status
什么时候能查到,query_when_check_shebao_status
现在可以查询吗,query_when_check_shebao_status
要多久能查到,query_when_check_shebao_status
怎么查询呢,query_how_check_shebao_status
在哪能查到,query_how_check_shebao_status
在哪里能查到,query_how_check_shebao_status
我怎么查询,query_how_check_shebao_status
网上可以查询吗,query_how_check_shebao_status
怎么查询,query_how_check_shebao_status
如何查询,query_how_check_shebao_status
你好我在哪里查询社保金额是否已经到账呢,query_how_check_shebao_status
缴纳可以查看记录吗,query_how_check_shebao_status
查询社保资格,query_how_check_shebao_status
查询缴纳,query_how_check_shebao_status
社保怎么查,query_how_check_shebao_status
社保如何查询,query_how_check_shebao_status
我的社保之前一直在你们这里交的我想换个旺旺ID缴纳行不行啊,change_wangwang_id
如果下个月还找你们也是一样40对吧,will_fee_be_same
长沙社保代缴怎么收费,ask_month_fee_total
大概多少钱,ask_month_fee_total
代缴杭州社保怎么收费,ask_month_fee_total
代缴社保费用,ask_month_fee_total
代缴社保费用是怎么收费的呀,ask_month_fee_total
多少钱,ask_month_fee_total
多少钱了,ask_month_fee_total
费用和材料,ask_month_fee_total
费用是多少,ask_month_fee_total
公积金最低队少,ask_month_fee_total
公积金最低多少,ask_month_fee_total
就是一个月交多少钱呢,ask_month_fee_total
俩一起多少,ask_month_fee_total
聊城社保代缴一年多钱,ask_month_fee_total
每个月缴费多少,ask_month_fee_total
那我最终是要交多少,ask_month_fee_total
你好贵店代缴长沙社保每个月缴多少,ask_month_fee_total
你好问一下7900的基数公积金代缴是付多少,ask_month_fee_total
您好五险一金服务费怎么收,ask_month_fee_total
请问成都代缴社保多少钱,ask_month_fee_total
请问一个月多少钱,ask_month_fee_total
上海多少,ask_month_fee_total
上海这边社保公积金代缴要怎么收费呢,ask_month_fee_total
社保多少一个月,ask_month_fee_total
社保加公积金上海的一个月差不多要多少,ask_month_fee_total
社保加公积金我每个月要交多少钱,ask_month_fee_total
社保这块什么费用怀孕了没社保,ask_month_fee_total
社保最低档多少钱,ask_month_fee_total
是怎么收费的呀,ask_month_fee_total
手续费多少,ask_month_fee_total
现在一个月最低是多少钱,ask_month_fee_total
需要缴纳多少钱,ask_month_fee_total
要付多少钱,ask_month_fee_total
一个月是多少,ask_month_fee_total
一个月是多少钱的,ask_month_fee_total
一共多少钱,ask_month_fee_total
这个社保公积金一共多少钱,ask_month_fee_total
这月社保多少,ask_month_fee_total
总共多少钱,ask_month_fee_total
总计多少钱,ask_month_fee_total
最低的额度是多少,ask_month_fee_total
社保那个钱是具体怎么计算的呢,ask_month_fee_total
代理费多少,service_fee
多少手续费我补给你,service_fee
服务费多少,service_fee
服务费多少钱,service_fee
服务费五险一金多少,service_fee
社保公积金一起做收多少服务费啊,service_fee
缴费基数是多少,jishu
缴纳基数呢,jishu
社保和公积金基数是,jishu
时间呢,query_pay_deadline
5月份杭州社保今天能交么,query_pay_deadline
五月可以交吗,query_pay_deadline
五月还能缴吗,query_pay_deadline
本月已经晚了吧,query_pay_deadline
5月份的还能交吗,query_pay_deadline
5月份的不能交吗,query_pay_deadline
今年6月份的还能补缴的吧,query_pay_deadline
最晚什么时候下单,query_pay_deadline
这个月上海的社保还能代缴吗,query_pay_deadline
来得及吧,query_pay_deadline
需要缴纳五月份社保和公积金最迟几号提交,query_pay_deadline
还来的及吗,query_pay_deadline
还可以补缴6月的吗,query_pay_deadline
现在能汇缴么,query_pay_deadline
现在还能补么,query_pay_deadline
社保还可以交吗,query_pay_deadline
现在来不及了,query_pay_deadline
5月的五险现在可以缴纳吗,query_pay_deadline
4月份还能缴么,query_pay_deadline
四月的要五月初缴纳吧,query_pay_deadline
怎么收费呢,query_pay_process
怎么交,query_pay_process
怎么付钱,query_pay_process
怎么付款,query_pay_process
怎么操作,query_pay_process
怎么办理呢,query_pay_process
怎么办理,query_pay_process
我需要做什么,query_pay_process
如何付费,query_pay_process
去那里交,query_pay_process
那我怎么下单,query_pay_process
那我怎么办理,query_pay_process
流程再给我下,query_pay_process
流程是什么,query_pay_process
流程是,query_pay_process
流程,query_pay_process
还是要怎么交,query_pay_process
付款怎么操做呢,query_pay_process
费用怎么走,query_pay_process
费用怎么收取,query_pay_process
参保流程,query_pay_process
比例怎么缴费的,query_pay_process
怎么下单,query_pay_process
先下单对吧,query_pay_process
你们帮我交流程是什么样的,query_pay_process
只缴纳养老可以吗,query_pay_part_only
可以只交医保吗,query_pay_part_only
可以只交养老吗,query_pay_part_only
可以只交3险吗,query_pay_part_only
只交养老可以吗,query_pay_part_only
只交3险可以吗,query_pay_part_only
只交医保可以吗,query_pay_part_only
只要交医保,query_pay_part_only
只要交养老,query_pay_part_only
有服务费啊,query_have_service_fee
服务费有吗,query_have_service_fee
不加服务费的吧,query_have_service_fee
可以一月一交吗,query_payment_schedule
一般几号,ask_turnaround_time
要多久呢,ask_turnaround_time
什么时候可以搞,ask_turnaround_time
什么时候搞好,ask_turnaround_time
今天缴什么时候能在系统看到,ask_turnaround_time
几号可以转出来,ask_turnaround_time
然后怎么弄呢,next_step
然后呢,next_step
然后,next_step
拍下后,next_step
接着呢,next_step
接下来呢,next_step
有明细没亲,ask_for_details
怎么操作么,ask_procedure
怎么拍,how_to_pai
在淘宝拍么,how_to_pai
续保怎么拍,how_to_pai
我怎么拍,how_to_pai
是在淘宝在拍吗,how_to_pai
是不是在淘宝拍,how_to_pai
接下来怎么拍,how_to_pai
怎么拍5个呢,how_to_pai
直接拍么,how_to_pai
现在拍吧,how_to_pai
每个都要拍吗,how_to_pai
好的直接拍吗,how_to_pai
现在汇缴怎么拍,how_to_pai
30号不办不行么,check_can_dun_ban
怎么提交资料的,query_req_resources
要什么资料吗,query_req_resources
要哪些材料,query_req_resources
需要我提供什东西吗,query_req_resources
需要提供什么资料吗,query_req_resources
需要什么资料,query_req_resources
需要什么信息,query_req_resources
需要什么吗,query_req_resources
需要啥材料,query_req_resources
需要啥,query_req_resources
需要哪些资料,query_req_resources
是要什么么,query_req_resources
缺什么,query_req_resources
那要什么交,query_req_resources
那我应该提供些什么材料,query_req_resources
好需要提供啥,query_req_resources
还需要其他的么,query_req_resources
都需要我准备什么,query_req_resources
不出具资料,query_req_resources
必须工行卡吗,query_req_resources
什么时候需要资料呀,query_req_resources
交上海社保要什么资料,query_req_resources
都需要什么资料,query_req_resources
都需要什么资料啊,query_req_resources
需要提供什么资料,query_req_resources
我要准备什么资料么,query_req_resources
要啥材料吗,query_req_resources
都需要提供给你什么资料,query_req_resources
需要提交哪些资料,query_req_resources
几号之前需要提交资料,query_req_resources
只交社保需要我提供给你什么,query_req_resources
我要准备什么资料么,query_req_resources
优惠吗,ask_discount
给我做减员了吗,ask_discount
不买公积金,explore_option
不交公积金,explore_option
园区呢,explore_option
一金呢,explore_option
要是加上社保,explore_option
相城区呢,explore_option
我没交金,explore_option
我不需要公积金,explore_option
社保呢,explore_option
社保不交,explore_option
上海的呢,explore_option
那公积金呢,explore_option
没有社保呢,explore_option
没交社保,explore_option
公积金呢,explore_option
不缴社保呢,explore_option
不缴社保,explore_option
不交社保呢,explore_option
不交社保,explore_option
不交公积金呢,explore_option
改个价谢谢,explore_option
只交社保多少钱,explore_option
只交五险多钱少,explore_option
你们可以开发票吗,ask_kai_piao
可以开发票吗,ask_kai_piao
可以发票吗,ask_kai_piao
开发票可以吗,ask_kai_piao
发票可以吗,ask_kai_piao
链接,request_link
可拍了吗,request_link
给我链接,request_link
哦给个链接,request_link
拍哪个链接呢,request_link
能给个链接吗,request_link
长沙二套房首付是多少知道吗,query_housing
影响买房吗,query_housing
因为我马上要买房会有什么影响,query_housing
想咨询下本人想在长沙购房本人户口是湖南常德因为限购需要先缴纳社保2年连续的想问要怎么去办理和缴费呢,query_housing
我问一下，在你们这边代缴公积金，后面想办公积金贷款的话怎么操作呢,query_housing
我目的是为了买苏州全区的房子,query_housing
你好在吗想问一下我姐姐长沙的房子赠送给我但我不是长沙户口这种可以吗,query_housing
买房呢,query_housing
房屋中介能缴,query_housing
发送缴纳通知,query_housing
补缴对孩子上学和买房有影响吗,query_housing
会不会影响买房,query_housing
不影响买房吧,query_housing
比如购房,query_housing
我想交两个地方的社保行吗,query_multiple_locations
你好就是我现在要从上海离职去北京就是你们这边可以帮忙续交上海社保是吧,query_multiple_locations
可以交不同地区的社保吗,query_multiple_locations
能同时交两地吗,query_multiple_locations
需要劳动手册么,laodong
怀孕了社保是怎么样,query_pregnant
现在怀孕四个月之前上海社保已经交满一年交到生产当月可以领生育津贴吗,query_pregnant
怀孕可以交社保吗,query_pregnant
你们代缴社保后期可以领取生育津贴吗,query_pregnant
这个有啥影响么,query_various_effects
社保影响吗,query_various_effects
社保断缴有什么影响吗,query_various_effects
那有什么影响吗,query_various_effects
公积金断缴有影响吗,query_various_effects
公积金断缴会有什么问题吗断几个月,query_various_effects
不影响吧,query_various_effects
对于孩子上学有影响吗,query_various_effects
这个跟后面小孩子上学有冲突嘛,query_various_effects
7月底刚办完深户准备申请入户补贴应该缴哪一档的社保,query_various_effects
社保断缴会有什么问题吗,query_various_effects
包括生育险没有,query_shebao_components
能帮忙介绍下吗,query_shebao_components
社保包含什么,query_shebao_components
社保包括医疗保险吗,query_shebao_components
社保代缴是五险都包含的吧,query_shebao_components
社保哪几种,query_shebao_components
社保主要包括什么的,query_shebao_components
五险一金里面含公积金吗,query_shebao_components
这个代缴有包括医疗吗,query_shebao_components
五险一金都有吗,query_wxyj_included
补缴6月的,ask_can_topup
补缴费用一样,ask_can_topup
补缴是这样的吗,ask_can_topup
补三月,ask_can_topup
断了的可以补吗,ask_can_topup
公积金补缴,ask_can_topup
公积金贷款认可补缴吗,ask_can_topup
公积金可以补吗,ask_can_topup
公积金怎么补,ask_can_topup
可以补交公积金吗,ask_can_topup
可以补交社保吗,ask_can_topup
可以补缴社保吗,ask_can_topup
可以补吗,ask_can_topup
可以补么,ask_can_topup
可以交补充公积金吗,ask_can_topup
可以这样补缴么,ask_can_topup
那我能补缴吗,ask_can_topup
能补交上吗,ask_can_topup
你好社保你这能补交吗,ask_can_topup
你们可以补交几个月呢,ask_can_topup
请问上海社保能补缴吗,ask_can_topup
上海的社保可以补交吗,ask_can_topup
上海社保可以补缴吗,ask_can_topup
上海社保能补缴吗,ask_can_topup
社保补缴,ask_can_topup
社保可以补交吗,ask_can_topup
所以想先补缴,ask_can_topup
我补三月,ask_can_topup
我可以补缴社保吗,ask_can_topup
我要补缴社保,ask_can_topup
五险可以补交么,ask_can_topup
需要补缴社保,ask_can_topup
要补缴社保,ask_can_topup
怎么补啊,ask_can_topup
能补缴吗,ask_can_topup
