Text,Intent,,
谢 谢 你 了,thankyou,,
谢 谢 啊,thankyou,,
谢 谢,thankyou,,
谢 了,thankyou,,
哦 哦 谢 谢,thankyou,,
麻 烦 您 了,thankyou,,
合 作 愉 快,thankyou,,
好 谢 谢 谢 谢,thankyou,,
好 谢 谢,thankyou,,
好 的 谢 谢 你 啦,thankyou,,
好 的 谢 谢 你 哈,thankyou,,
好 的 谢 谢 你,thankyou,,
好 的 谢 谢 啦,thankyou,,
好 的 谢 谢,thankyou,,
感 谢,thankyou,,
改 个 价 ， 谢 谢,thankyou,,
tks,thankyou,,
拍 哪 个 链 接 呢,request_link,,
哦 给 个 链 接,request_link,,
能 给 个 链 接 吗,request_link,,
链 接,request_link,,
可 拍 了 吗,request_link,,
给 我 链 接,request_link,,
下 月 叫 我 亲,request_future_notify,,
如 果 有 问 题 及 时 联 系 我,request_future_notify,,
交 完 了 通 知 我 啊,request_future_notify,,
好 了 联 系 我 哦,request_future_notify,,
好 了 叫 我 哦,request_future_notify,,
一 直 进 不 去,report_issue,,
都 没 收 到,report_issue,,
58 那 个 进 不 去,report_issue,,
为 什 么,question_why,,
为 啥 是 今 天,question_why,,
为 啥,question_why,,
正 规 吗,question_reliability,,
真 实 有 效 的 吧,question_reliability,,
真 的 有 效 吗,question_reliability,,
你 们 是 正 规 的 吗,question_reliability,,
五 险 一 金 都 有 吗,query_wxyj_included,,
要 多 久 能 查 到,query_when_check_shebao_status,,
现 在 可 以 查 询 吗,query_when_check_shebao_status,,
什 么 时 候 能 查 到 ,query_when_check_shebao_status,,
几 号 能 查 到 ,query_when_check_shebao_status,,
6 月 什 么 时 候 能 查 到 成 功 缴 费 信 息 呢,query_when_check_shebao_status,,
5 月 的 什 么 时 候 能 查 到,query_when_check_shebao_status,,
有 微 信 吗 ,query_weixin,,
你 们 有 微 信 吗 ,query_weixin,,
可 以 加 微 信 吗 ,query_weixin,,
加 微 信 可 以 吗,query_weixin,,
补 缴 跟 按 时 缴 有 啥 区 别 吗,query_topup,,
补 交 是 怎 样 的,query_topup,,
补 交 跟 按 时 交 有 什 么 差 别,query_topup,,
怎 么 提 交 资 料 的,query_req_resources,,
要 什 么 资 料 吗 ,query_req_resources,,
要 啥 材 料 吗 ,query_req_resources,,
要 哪 些 材 料,query_req_resources,,
需 要 我 提 供 什 东 西 吗 ,query_req_resources,,
需 要 提 供 什 么 资 料 吗,query_req_resources,,
需 要 什 么 资 料,query_req_resources,,
需 要 什 么 信 息,query_req_resources,,
需 要 什 么 吗,query_req_resources,,
需 要 啥 材 料,query_req_resources,,
需 要 啥,query_req_resources,,
需 要 哪 些 资 料,query_req_resources,,
是 要 什 么 么,query_req_resources,,
缺 什 么,query_req_resources,,
那 要 什 么 交,query_req_resources,,
那 我 应 该 提 供 些 什 么 材 料,query_req_resources,,
好 需 要 提 供 啥,query_req_resources,,
还 需 要 其 他 的 么,query_req_resources,,
都 需 要 我 准 备 什 么,query_req_resources,,
都 需 要 什 么 资 料 ,query_req_resources,,
不 出 具 资 料,query_req_resources,,
必 须 工 行 卡 吗,query_req_resources,,
五 险 一 金 里 面 含 公 积 金 吗,query_product_explain,,
社 保 哪 几 种,query_product_explain,,
社 保 代 缴 是 五 险 都 包 含 的 吧,query_product_explain,,
能 帮 忙 介 绍 下 吗,query_product_explain,,
怀 孕 了 社 保 是 怎 么 样,query_pregnant,,
现 在 怀 孕 四 个 月 ， 之 前 上 海 社 保 已 经 交 满 一 年 ， 交 到 生 产 当 月 可 以 领 生 育 津 贴 吗,query_pregnant,,
怀 孕 可 以 交 社 保 吗,query_pregnant,,
有 电 话 吗,query_phone,,
我 想 电 话 咨 询,query_phone,,
手 机 号 码,query_phone,,
你 好 单 位 有 固 定 电 话 嘛 ,query_phone,,
可 以 电 话 咨 询 吗,query_phone,,
可 以 电 话 联 系 下 吗,query_phone,,
方 便 电 话 吗,query_phone,,
可 以 一 月 一 交 吗,query_payment_schedule,,
怎 么 下 单,query_pay_process,,
怎 么 收 费 呢,query_pay_process,,
怎 么 交,query_pay_process,,
怎 么 付 钱,query_pay_process,,
怎 么 付 款,query_pay_process,,
怎 么 操 作,query_pay_process,,
怎 么 办 理 呢,query_pay_process,,
怎 么 办 理,query_pay_process,,
我 需 要 做 什 么 ,query_pay_process,,
如 何 付 费 ,query_pay_process,,
去 那 里 交,query_pay_process,,
那 我 怎 么 下 单,query_pay_process,,
那 我 怎 么 办 理,query_pay_process,,
流 程 再 给 我 下,query_pay_process,,
流 程 是 什 么,query_pay_process,,
流 程 是,query_pay_process,,
流 程,query_pay_process,,
还 是 要 怎 么 交,query_pay_process,,
付 款 怎 么 操 做 呢,query_pay_process,,
费 用 怎 么 走,query_pay_process,,
费 用 怎 么 收 取,query_pay_process,,
参 保 流 程,query_pay_process,,
比 例 怎 么 缴 费 的,query_pay_process,,
只 缴 纳 养 老 可 以 吗,query_pay_part_only,,
可 以 只 交 医 保 吗,query_pay_part_only,,
可 以 只 交 养 老 吗,query_pay_part_only,,
可 以 只 交 3 险 吗,query_pay_part_only,,
最 晚 什 么 时 候 下 单,query_pay_deadline,,
时 间 呢,query_pay_deadline,,
每 月 什 么 时 间 下 单,query_pay_deadline,,
每 月 什 么 时 间 交,query_pay_deadline,,
截 止 日 期 是 什 么 时 候,query_pay_deadline,,
几 号 汇 缴,query_pay_deadline,,
6 月 份 最 晚 几 号 交,query_pay_deadline,,
5 月 份 的 最 晚 什 么 时 候 可 以 办 理,query_pay_deadline,,
我 想 交 两 个 地 方 的 社 保 ， 行 吗,query_multiple_locations,,
你 好 ， 就 是 我 现 在 要 从 上 海 离 职 去 北 京 ， 就 是 你 们 这 边 可 以 帮 忙 续 交 上 海 社 保 是 吧 ,query_multiple_locations,,
可 以 交 不 同 地 区 的 社 保 吗,query_multiple_locations,,
怎 么 找 小 程 序,query_mini_program,,
小 程 序 怎 么 开 呢,query_mini_program,,
小 程 序 怎 么 开,query_mini_program,,
小 程 序,query_mini_program,,
什 么 微 信 小 程 序,query_mini_program,,
怎 么 查 询 呢 ,query_how_check_shebao_status,,
在 哪 能 查 到 ,query_how_check_shebao_status,,
在 哪 里 能 查 到 ,query_how_check_shebao_status,,
我 怎 么 查 询 ,query_how_check_shebao_status,,
网 上 可 以 查 询 吗,query_how_check_shebao_status,,
如 何 查 询 ,query_how_check_shebao_status,,
你 好 我 在 哪 里 查 询 社 保 金 额 是 否 已 经 到 账 呢,query_how_check_shebao_status,,
缴 纳 可 以 查 看 记 录 吗,query_how_check_shebao_status,,
查 询 社 保 资 格,query_how_check_shebao_status,,
查 询 缴 纳,query_how_check_shebao_status,,
社 保 怎 么 查,query_how_check_shebao_status,,
社 保 如 何 查 询,query_how_check_shebao_status,,
长 沙 二 套 房 首 付 是 多 少 知 道 吗,query_housing,,
影 响 买 房 吗,query_housing,,
因 为 我 马 上 要 买 房 ， 会 有 什 么 影 响,query_housing,,
想 咨 询 下 ， 本 人 想 在 长 沙 购 房 ， 本 人 户 口 是 湖 南 常 德 ， 因 为 限 购 ， 需 要 先 缴 纳 社 保 2 年 连 续 的 ， 想 问 要 怎 么 去 办 理 和 缴 费 呢,query_housing,,
我 问 一 下 ， 在 你 们 这 边 代 缴 公 积 金 ， 后 面 想 办 公 积 金 贷 款 的 话 怎 么 操 作 呢,query_housing,,
我 目 的 是 为 了 买 苏 州 全 区 的 房 子,query_housing,,
你 好 ， 在 吗  想 问 一 下 我 姐 姐 长 沙 的 房 子 赠 送 给 我 ， 但 我 不 是 长 沙 户 口 ， 这 种 可 以 吗 ,query_housing,,
买 房 呢,query_housing,,
房 屋 中 介 能 缴,query_housing,,
发 送 缴 纳 通 知,query_housing,,
补 缴 对 孩 子 上 学 和 买 房 有 影 响 吗,query_housing,,
会 不 会 影 响 买 房,query_housing,,
不 影 响 买 房 吧,query_housing,,
比 如 购 房,query_housing,,
有 服 务 费 啊,query_have_service_fee,,
服 务 费 有 吗,query_have_service_fee,,
不 加 服 务 费 的 吧,query_have_service_fee,,
你 们 公 司 的 名 字 是 什 么,query_company_name,,
公 司 名 字 是 啥,query_company_name,,
那 残 章 金 呢,query_canzhangjin,,
这 个 有 啥 影 响 么,query_various_effects,,
社 保 影 响 吗,query_various_effects,,
社 保 断 缴 有 什 么 影 响 吗,query_various_effects,,
那 有 什 么 影 响 吗,query_various_effects,,
公 积 金 断 缴 有 影 响 吗,query_various_effects,,
公 积 金 断 缴 会 有 什 么 问 题 吗 。 断 几 个 月,query_various_effects,,
不 影 响 吧,query_various_effects,,
这 个 社 保 公 积 金 一 共 多 少 钱,purchase_wxyj,,
五 险 一 金,purchase_wxyj,,
社 保 加 公 积 金 上 海 的 一 个 月 差 不 多 要 多 少,purchase_wxyj,,
社 保 公 积 金 一 起 做 收 多 少 服 务 费 啊,purchase_wxyj,,
社 保 公 积 金 呢,purchase_wxyj,,
社 保 公 积 金,purchase_wxyj,,
社 保   + 公 积 金,purchase_wxyj,,
您 好 ， 五 险 一 金 服 务 费 怎 么 收,purchase_wxyj,,
您 好 ， 我 想 咨 询 一 下 上 海 代 缴 五 险 一 金,purchase_wxyj,,
5 月 社 保 和 公 积 金,purchase_wxyj,,
5 月 份 社 保 公 积 金,purchase_wxyj,,
最 低 基 数,purchase,,
最 低 的 额 度 ， 是 多 少,purchase,,
只 买 社 保,purchase,,
只 交 社 保 可 以 吧,purchase,,
只 交 社 保 多 少 钱 ,purchase,,
只 交 社 保,purchase,,
怎 么 缴 纳 社 保 的 ,purchase,,
园 区 的 可 以 交 吗,purchase,,
有 闲 林 的 吗,purchase,,
要 交 社 保 可 以 吗,purchase,,
要 交 社 保,purchase,,
要 交 上 海 社 保 可 以 吗,purchase,,
要 交 上 海 社 保,purchase,,
要 交 杭 州 社 保 可 以 吗,purchase,,
要 交 杭 州 社 保,purchase,,
要 交 广 州 社 保 可 以 吗,purchase,,
要 交 广 州 社 保,purchase,,
要 交 成 都 社 保 可 以 吗,purchase,,
要 交 成 都 社 保,purchase,,
要 交 北 京 社 保 可 以 吗,purchase,,
要 交 北 京 社 保,purchase,,
要 付 社 保,purchase,,
需 要 缴 纳 社 保,purchase,,
需 要 缴 纳,purchase,,
需 要 交 社 保,purchase,,
需 要 付 社 保,purchase,,
需 要 代 缴,purchase,,
想 在 广 州 教 社 保,purchase,,
想 问 下 上 海 社 保 的 情 况,purchase,,
想 问 下 杭 州 社 保 的 情 况,purchase,,
现 在 想 交,purchase,,
我 要 缴 纳 社 保,purchase,,
我 要 交 杭 州 社 保,purchase,,
我 要 付 社 保,purchase,,
我 需 要 交 公 积 金,purchase,,
我 想 缴 社 保,purchase,,
维 洛 代 缴 的,purchase,,
是 不 是 需 要 代 缴,purchase,,
社 保 最 低 档 多 少 钱,purchase,,
社 保 怎 么 缴 纳,purchase,,
社 保 可 以 交 吗,purchase,,
社 保 就 行,purchase,,
社 保 缴 纳,purchase,,
社 保 还 可 以 交 吗 ,purchase,,
社 保 单 位 有 交,purchase,,
社 保 代 缴 吗,purchase,,
社 保 不 想 断 可 以 在 你 这 里 交 吗,purchase,,
社 保,purchase,,
上 海 生 育 保 险   要 缴 纳 多 久,purchase,,
上 海 社 保 可 以 交 吗,purchase,,
上 海 社 保 公 积 金 代 缴 怎 么 办 理 收 费,purchase,,
上 海 社 保,purchase,,
上 海 多 少,purchase,,
请 问 可 以 开 吗,purchase,,
请 问 可 以 代 缴 上 海 社 保 吗,purchase,,
请 问 代 缴 社 保 的 小 程 序 里 “ 入 职 时 间 ” 怎 么 填 ,purchase,,
您 好 ， 我 这 边 在 办 离 职 手 续 ，   H R 那 边 需 要 我 填 一 个 公 积 金 的 处 理 方 式 ， 如 果 我 后 续 准 备 在 你 们 这 边 办 理 代 缴 的 话 ， 是 选 封 存 吗 ,purchase,,
您 好 ， 我 想 咨 询 一 下 代 缴 五 险 一 金,purchase,,
你 这 可 以 代 缴 杭 州 五 险 一 金 是 吗,purchase,,
你 们 代 缴 社 保 ， 后 期 可 以 领 取 生 育 津 贴 吗,purchase,,
你 家 无 锡 有 代 缴 嘛 ,unsupported_request,,
你 好 ， 社 保 ， 你 这 能 补 交 吗 ,purchase,,
你 好 ， 请 问 如 果 选 择 你 们 代 缴 上 海 社 保 ， 你 们 是 以 哪 家 公 司 名 义 缴 纳 ,purchase,,
那 我 需 要 交 社 保,purchase,,
那 就 单 纯 社 保 吧,purchase,,
老 板 ， 能 代 缴 湖 南 省 直 社 保 吗,purchase,,
可 以 只 交 社 保 吗,purchase,,
可 以 交 社 保 不,purchase,,
交 社 保 可 以 吗,purchase,,
交 社 保,purchase,,
交 上 海 社 保 可 以 吗,purchase,,
交 上 海 社 保,purchase,,
交 杭 州 社 保 可 以 吗,purchase,,
交 杭 州 社 保,purchase,,
交 广 州 社 保 可 以 吗,purchase,,
交 广 州 社 保,purchase,,
交 工 资 加 社 保,purchase,,
交 成 都 社 保 可 以 吗,purchase,,
交 成 都 社 保,purchase,,
交 北 京 社 保 可 以 吗,purchase,,
交 北 京 社 保,purchase,,
杭 州 社 保 可 以 交 吗,purchase,,
广 州 社 保 可 以 交 吗,purchase,,
光 缴 纳 公 积 金 可 以 吗,purchase,,
公 积 金 也 能 交 吗,purchase,,
代 缴 社 保 费 用   是 怎 么 收 费 的 呀,purchase,,
代 缴 社 保 费 用,purchase,,
代 缴 社 保,purchase,,
代 缴 包 括 公 司 部 分 和 个 人 部 分 吗,purchase,,
代 缴,purchase,,
成 都 社 保 可 以 交 吗,purchase,,
不 买 公 积 金,explore_option,,
不 交 公 积 金,explore_option,,
北 京 社 保 可 以 交 吗,purchase,,
按 最 低 交,purchase,,
按 最 低 的 交,purchase,,
按 最 低 的,purchase,,
5 月 份 社 保,purchase,,
5 月 份 杭 州 社 保 今 天 能 交 么,purchase,,
4 月 份 的 要 开 始 买,purchase,,
4 月 的 社 保 交 了 吗,purchase,,
4 月 的 公 司 会 帮 忙 缴 纳 五 月 份 的 找 你 们 代 缴 的,purchase,,
我 想 给 我 妈 交 税,pay_shui,,
我 想 补 个 税,pay_shui,,
请 问 可 以 补 个 税 吗,pay_shui,,
可 以 光 交 税 么,pay_shui,,
会 代 缴 税 吗,pay_shui,,
补 个 税 怎 么 收 费,pay_shui,,
最 高 的 吧,no_intent,,
准 备 续 签 居 住 证 了,no_intent,,
朱 嘉 佑,no_intent,,
重 新 拍 了,no_intent,,
直 接 淘 宝 付 款 吗,no_intent,,
只 需 要 五 险,no_intent,,
只 发 工 行,no_intent,,
正 规 的,no_intent,,
这 个 月 缴 纳 啦   你 看 一 下,no_intent,,
这 个 月 的 款 已 经 付,no_intent,,
这 个 月 不 用 交 了,no_intent,,
这 个 日 期,no_intent,,
长 沙,no_intent,,
怎 么 发 信 息 说 要 停 缴 了 呐,no_intent,,
在 上 海,no_intent,,
在 杭 州,no_intent,,
月 底 交,no_intent,,
园 区 的,no_intent,,
有 发 票 提 供 吗,no_intent,,
医 保 卡 什 么 时 候 可 以 使 用 ,no_intent,,
一 个 月 时 间,no_intent,,
一 个 月,no_intent,,
续 了 哦,no_intent,,
现 在 拍,no_intent,,
五 月 的,no_intent,,
我 正 常 缴 费,no_intent,,
我 来 拍,no_intent,,
我 看 到 你 们 会 提 供 截 图 的 ， 什 么 时 候 会 有 呢 ,no_intent,,
王 成 银,no_intent,,
算 这 个 月 交 的 吗,no_intent,,
苏 州 联 系 地 址,no_intent,,
苏 州,no_intent,,
四 月 的,no_intent,,
四 月,no_intent,,
社 保 这 块 什 么 费 用 ， 怀 孕 了 没 社 保,no_intent,,
社 保 编 号,no_intent,,
上 海 户 籍,no_intent,,
上 海 的,no_intent,,
上 海,no_intent,,
山 海,no_intent,,
全 部 的,no_intent,,
企 业 社 保,no_intent,,
你 们 自 己 的 公 司,no_intent,,
你 们 属 于 人 力 资 源 公 司 吗,no_intent,,
那 我 准 备 付 款 了,no_intent,,
那 我 入 职 日 期 填 什 么,no_intent,,
那 我 拍 了,no_intent,,
那 加 上 公 积 金 的 话 是 多 少 钱,no_intent,,
昆 山 的,no_intent,,
可 以 只 交 个 人 部 分 吗,no_intent,,
可 以 两 地 同 时 缴 纳 吗,no_intent,,
可 以 出 合 同 吗,no_intent,,
就 交 一 个 月,no_intent,,
基 数 的 问 题,unknown,,
杭 州,no_intent,,
还 受,no_intent,,
广 州,no_intent,,
公 司,no_intent,,
公 积 金,no_intent,,
高 新 南 区 没 有,no_intent,,
改 价 我 现 在 付 款,no_intent,,
费 用 已 付 ， 注 意 查 收,no_intent,,
多 问 一 下,chitchat,,
初 中,no_intent,,
成 都,no_intent,,
不 需 要 重 新 开 户,no_intent,,
不 客 气,chitchat,,
北 京,no_intent,,
54 岁,no_intent,,
5 月 份 的,no_intent,,
5 月 的 我 拍 下,no_intent,,
5 月,no_intent,,
5 0 0 0 基 数 能 贷 到 上 限 吗,daikuan,,
4 月 几 号,no_intent,,
4 月 份 的,no_intent,,
4 月,no_intent,,
2 月 份 的,no_intent,,
18621321922 手 机,no_intent,,
1856 啊,no_intent,,
12027 486 80 3 30 2 20 53861,no_intent,,
然 后 怎 么 弄 呢,next_step,,
然 后 呢,next_step,,
然 后,next_step,,
拍 下 后,next_step,,
接 着 呢,next_step,,
接 下 来 呢,next_step,,
我 没 有 验 证 码,missing_info,,
我 没 工 行 银 行 卡,missing_info,,
忘 了,missing_info,,
这 里 可 以 落 户 吗,luohu,,
应 届 毕 业 生 落 户 是 怎 么 办 理 的,luohu,,
想 落 户 苏 州,luohu,,
我 是 应 届 生 落 户,luohu,,
为 了 落 户 苏 州,luohu,,
太 仓 落 户,luohu,,
你 们 可 以 办 理 落 户 吗,luohu,,
能 办 理 积 分 落 户 吗,luohu,,
落 户 上 海 需 要 什 么 材 料,luohu,,
落 户,luohu,,
留 学 生 落 户 怎 么 个 流 程,luohu,,
可 以 苏 州 落 户 吗,luohu,,
可 以 办 留 学 生 落 户 吗,luohu,,
可 以 办 理 落 户 吗,luohu,,
需 要 劳 动 手 册 么,laodong,,
之 前 在 市 区 交 的,inform_payment_history,,
之 前 有 账 户,inform_payment_history,,
之 前 我 补 一 月,inform_payment_history,,
之 前 缴 过 的,inform_payment_history,,
之 前 交 综 合 保 险,inform_payment_history,,
之 前 交 的,inform_payment_history,,
之 前 公 司 有 交 的,inform_payment_history,,
在 嵊 州 办 过,inform_payment_history,,
以 前 缴 过,inform_payment_history,,
一 直 在 杭 州 的,inform_payment_history,,
一 直 没 交 过,inform_payment_history,,
我 在 上 海 有 社 保,inform_payment_history,,
我 上 次 补 几 月,inform_payment_history,,
我 没 有 开 过 户 的,inform_payment_history,,
市 区 交 了 几 个 月,inform_payment_history,,
三 月 没 交,inform_payment_history,,
交 过 啊,inform_payment_history,,
交 过,inform_payment_history,,
公 司 给 交 过 了,inform_payment_history,,
不 是 首 次 参 保,inform_payment_history,,
不 是 首 次,inform_payment_history,,
5 月 的 公 司 已 经 给 我 交 了,inform_payment_history,,
支 付 好 了,inform_paid,,
已 拍,inform_paid,,
已 经 支 付,inform_paid,,
已 经 全 部 付 了,inform_paid,,
已 经 付 款 了,inform_paid,,
已 付 款,inform_paid,,
已 付 费,inform_paid,,
已 付,inform_paid,,
我 已 经 付 了,inform_paid,,
我 下 单 了,inform_paid,,
我 提 交 完 毕,inform_paid,,
我 提 交 了,inform_paid,,
我 提 交 好 了,inform_paid,,
我 拍 了,inform_paid,,
我 拍 好 了,inform_paid,,
我 交 五 险 一 金,inform_paid,,
我 付 完 款 了,inform_paid,,
我 付 款 了,inform_paid,,
我 把 钱 付 了,inform_paid,,
提 交 了,inform_paid,,
提 交 好 了,inform_paid,,
提 交 成 功 了,inform_paid,,
提 交 成 功,inform_paid,,
四 十 我 拍 了,inform_paid,,
钱 付 过 了,inform_paid,,
拍 下 了,inform_paid,,
拍 了,inform_paid,,
拍 好 了,inform_paid,,
会 不 会 突 然 停 交 了 呢 ,inform_paid,,
付 了,inform_paid,,
付 好 钱 了,inform_paid,,
付 好 了,inform_paid,,
付 完 了,inform_paid,,
都 支 付 过 了,inform_paid,,
[表情] 付 完 了 一 个,inform_paid,,
已 填 写 好,inform_info_filled,,
已 经 好 了,inform_info_filled,,
信 息 已 经 填 完 了,inform_info_filled,,
信 息 填 好 了,inform_info_filled,,
信 息 提 交 了,inform_info_filled,,
填 完 了,inform_info_filled,,
填 好 了 谢 谢 你,inform_info_filled,,
填 好,inform_info_filled,,
提 交 了,inform_info_filled,,
这 个 月 社 保 公 积 金 以 及 服 务 费 用 已 经 缴 纳,inform_early_paid,,
社 保 交 了,inform_early_paid,,
7 月 份 社 保 公 积 金 已 拍,inform_early_paid,,
直 接 拍 么,how_to_pai,,
怎 么 拍,how_to_pai,,
在 淘 宝 拍 么,how_to_pai,,
续 保 怎 么 拍,how_to_pai,,
我 怎 么 拍,how_to_pai,,
是 在 淘 宝 在 拍 吗,how_to_pai,,
是 不 是 在 淘 宝 拍,how_to_pai,,
接 下 来 怎 么 拍,how_to_pai,,
在 没,greet,,
在 么,greet,,
在 嘛,greet,,
在 吗,greet,,
有 人 么,greet,,
有 人 吗,greet,,
有 人 不,greet,,
下 午 好,greet,,
喂,greet,,
人 呢,greet,,
亲 在 吗,greet,,
亲,greet,,
您 好 亲,greet,,
您 好,greet,,
你 好 在 吗,greet,,
你 好 我 想 问 一 下,greet,,
你 好 亲,greet,,
你 好,greet,,
美 女,greet,,
zai ma,greet,,
yourenma,greet,,
hi,greet,,
hello,greet,,
只 交 公 积 金,gongjijin_only,,
我 只 缴 公 积 金,gongjijin_only,,
光 交 公 积 金,gongjijin_only,,
公 积 金 交 吗,gongjijin_only,,
公 积 金 贷 款,gongjijin_only,,
我 再 试 试,get_back_later,,
我 再 看 看,get_back_later,,
我 先 了 解 一 下,get_back_later,,
我 明 天 上 午 办 理,get_back_later,,
我 考 虑 一 下,get_back_later,,
那 我 明 天 操 作 吧,get_back_later,,
尽 快 回 复 你,get_back_later,,
好 我 先 确 认 下,get_back_later,,
好 的 我 去 问 问,get_back_later,,
付 好 告 诉 你 哈,get_back_later,,
ok 好 了 我 联 系 你,get_back_later,,
这 样 就 算 了,forget_it,,
这 个 就 算 了,forget_it,,
要 不 能 补 算 了,forget_it,,
我 就 只 能 算 了,forget_it,,
算 了 吧,forget_it,,
算 啦,forget_it,,
园 区 呢,explore_option,,
一 金 呢,explore_option,,
要 是 加 上 社 保,explore_option,,
相 城 区 呢,explore_option,,
我 没 交 金,explore_option,,
我 不 需 要 公 积 金,explore_option,,
社 保 呢,explore_option,,
社 保 不 交,explore_option,,
上 海 的 呢,explore_option,,
那 公 积 金 呢,explore_option,,
没 有 社 保 呢,explore_option,,
没 交 社 保,explore_option,,
公 积 金 呢,explore_option,,
不 缴 社 保 呢,explore_option,,
不 缴 社 保,explore_option,,
不 交 社 保 呢,explore_option,,
不 交 社 保,explore_option,,
不 交 公 积 金 呢,explore_option,,
直 接 拍 下 吗,doublecheck,,
直 接 拍 就 行 了,doublecheck,,
直 接 拍,doublecheck,,
这 个 吗,doublecheck,,
现 在 拍 吧,doublecheck,,
先 下 单 对 吧,doublecheck,,
填 完 小 程 序 就 显 示 了 “ 服 务 要 求 成 功 ” 几 个 字 ， 这 就 可 以 啦 ,doublecheck,,
所 以 我 先 拍 吗,doublecheck,,
是 吧,doublecheck,,
社 保 还 是 按 上 月 一 样 拍 就 可 以 吧,doublecheck,,
拍 下 就 可 以 了 么,doublecheck,,
你 看 看,ask_verify,,
每 个 都 要 拍 吗,doublecheck,,
没 事 吧,doublecheck,,
可 以 转 吗,doublecheck,,
看 到 吗,doublecheck,,
好 的 直 接 拍 吗,doublecheck,,
对 吗,doublecheck,,
对 吧,doublecheck,,
都 是 杭 州 的 吧,doublecheck,,
80 是 代 缴 费,doublecheck,,
19377 那 个 直 接 付 款 吗,doublecheck,,
0 么,unknown,,
现 在 不 行,deny,,
哦 基 本 用 不 上,deny,,
没 有 交,deny,,
没 有,deny,,
不 用 啊,deny,,
不 是,deny,,
不 买,deny,,
不 会,deny,,
不 行,deny,,
不 对 了,deny,,
不 对 啊,deny,,
不,deny,,
别 这 样,deny,,
5 月 没 有,deny,,
就 贷 款,daikuan,,
公 积 金 可 以 贷 款,daikuan,,
公 积 金 贷 款 额 度,daikuan,,
贷 款 是 连 续 6 个 月 就 好 对 吧,daikuan,,
贷 款 方 便,daikuan,,
贷 款,daikuan,,
不 影 响 贷 款 吧,daikuan,,
这 里 选 什 么,confused,,
这 个 怎 么 选,confused,,
怎 么 选 呢,confused,,
咋 回 事,confused,,
验 证 码 在 哪,confused,,
验 证 码 是 什 么,confused,,
我 不 太 懂,confused,,
是 什 么 意 思 呢,confused,,
什 么 意 思,confused,,
什 么 是 个 税 记 录,confused,,
社 保 补 缴 啥 意 思 ,confused,,
啥 意 思 啊,confused,,
啥 意 思,confused,,
请 问 这 话 啥 意 思,confused,,
哪 里 啊,confused,,
还 是 怎 么 回 事 啊,confused,,
不 太 懂,confused,,
不 是 太 了 解,confused,,
不 懂,confused,,
30 2 是 啥,confused,,
163 是 什 么,confused,,
作 假 的 那 种,complicated,,
