0,1,2
能 补 交 上 吗,bujiao_detail,O O O O O
那 我 能 补 缴 吗,bujiao_detail,O O O O O O
可 以 补 么,bujiao_detail,O O O O
可 以 补 吗,bujiao_detail,O O O O
可 以 补 缴 社 保 吗,bujiao_detail,O O O O O O O
可 以 补 交 社 保 吗,bujiao_detail,O O O O O O O
公 积 金 贷 款 认 可 补 缴 吗,bujiao_detail,O O O O O O O O O O
补 缴 是 这 样 的 吗,bujiao_detail,O O O O O O O
在 哪 里 能 查 到,check_shebao_status,O O O O O O
要 多 久 能 查 到,check_shebao_status,O O O O O O
我 怎 么 查 询,check_shebao_status,O O O O O
什 么 时 候 能 查 到,check_shebao_status,0 O O O O O O
什 么 时 候 可 以 查 询 到,check_shebao_status,0 O O O O O O O O
三 月 什 么 时 候 可 以 查 到,check_shebao_status,B-month I-month 0 O O O O O O O
如 何 查 询,check_shebao_status,O O O O
你 好 我 在 哪 里 查 询 社 保 金 额 是 否 已 经 到 账 呢,check_shebao_status,O O O O O O O O O O O O O O O O O O O
今 天 缴 什 么 时 候 能 在 系 统 看 到,check_shebao_status,O O O 0 O O O O O O O O O
缴 纳 可 以 查 看 记 录 吗,check_shebao_status,O O O O O O O O O
6 月 什 么 时 候 能 查 到 成 功 缴 费 信 息 呢,check_shebao_status,B-month I-month 0 O O O O O O O O O O O O O
5 月 的 什 么 时 候 能 查 到,check_shebao_status,B-month I-month O 0 O O O O O O
11 月 10 号 之 前 能 查 询 到 吗,check_shebao_status,B-month I-month B-day I-day O O O O O O O
转 出 了 吗,check_status,O O O O
有 具 体 的 明 细 吗,check_status,O O O O O O O
我 这 个 月 需 要 交 多 少 钱,check_status,O B-month I-month I-month O O O O O O
我 想 看 下 账 单 明 细,check_status,O O O O O O O O
我 订 单 进 度 是 这 样 的 应 该 没 有 什 么 问 题 吧,check_status,O O O O O O O O O O O O O O O O O O
我 的 社 保 转 出 了 吗,check_status,O O O O O O O O
我 的 社 保 交 了 吗,check_status,O O O O O O O
我 的 公 积 金 转 出 了 吗,check_status,O O O O O O O O O
我 的 公 积 金 交 好 了 吗,check_status,O O O O O O O O O
我 的 公 积 金 封 存 了 吗,check_status,O O O O O O O O O
请 问 我 的 缴 公 积 金 基 数 是 多 少 我 忘 记 了,check_status,O O O O O O O O O O O O O O O O O
请 问 公 积 金 有 帮 我 转 出 吗,check_status,O O O O O O O O O O O
你 们 可 以 看 到 成 功 了 吗,check_status,O O O O O O O O O O
你 好 五 月 份 时 侯 输 的 社 保 交 了 吧,check_status,O O B-month I-month O O O O O O O O O O
你 好 五 月 份 石 后 书 的 社 保 交 了 吧,check_status,O O B-month I-month O O O O O O O O O O
麻 烦 问 下 社 保 公 积 金 交 了 没,check_status,O O O O O O O O O O O O
交 好 了 吗,check_status,O O O O
公 积 金 交 了 吗,check_status,O O O O O O
帮 我 交 了 吗,check_status,O O O O O
5 月 几 号 可 以 查 询,check_status,B-month I-month O O O O O O
4 月 份 的 社 保 和 公 积 金 已 经 缴 纳 了 吧,check_status,B-month I-month O O O O O O O O O O O O O O
4 月 的 社 保 交 了 吗,check_status,B-month I-month O O O O O O
什 么 意 思,confused,O O O O
啥 意 思,confused,O O O
不 太 懂,confused,O O O
不 是 太 了 解,confused,O O O O O
不 懂,confused,O O
需 要 代 缴 从 5 月 开 始 两 三 个 月,daijiao,O O O O O B-month.start I-month.start O O B-month.duration I-month.duration I-month.duration I-month.duration
需 要 代 缴,daijiao,O O O O
我 是 要 申 请 贷 款 但 是 公 司 交 付 到 4 月 5 月 20 号 左 右 就 退 出 了 需 要 代 缴 5 月 的 公 积 金 不 能 断,daijiao,O O O O O O O O O O O O O O B-date I-date I-date I-date I-date I-date I-date I-date O O O O O O O O B-month I-month O O O O O O O
上 海 社 保 公 积 金 代 缴 怎 么 办 理 收 费,daijiao,B-city I-city O O O O O O O O O O O O O
您 好 我 想 咨 询 一 下 上 海 代 缴 五 险 一 金,daijiao,O O O O O O 0 O O O O O 0 O 0 O
您 好 我 想 咨 询 一 下 代 缴 五 险 一 金,daijiao,O O O O O O O O O O O O O O
你 好 我 想 代 缴 社 保 成 都,daijiao,O O O O O O O O B-city I-city
代 缴 社 保,daijiao,O O O O
代 缴,daijiao,O O
只 有 这 一 两 个 月 代 缴 有 影 响 吗,daijiao_detail,O O O B-month I-month I-month I-month O O O O O O
我 准 备 在 单 位 离 职 中 间 有 大 概 两 个 月 不 交 社 保 这 里 可 以 代 缴 吗,daijiao_detail,O O O O O O O O O O O O O O O O O O O O O O O O O O O
我 在 上 海 能 代 缴 吗,daijiao_detail,O O B-city I-city O O O O
我 想 问 这 边 可 以 办 理 单 位 接 收 代 缴 社 保 吗,daijiao_detail,O O O O O O O O O O O O O O O O O O
我 想 问 下 这 个 广 州 社 保 的 生 育 报 销 是 什 么 代 缴 的 社 保 也 能 享 受 吗,daijiao_detail,O O O O O O B-city I-city O O O O O O O O O O O O O O O O O O O O
我 问 一 下 在 你 们 这 边 代 缴 公 积 金 后 面 想 办 公 积 金 贷 款 的 话 怎 么 操 作 呢,daijiao_detail,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
苏 州 市 的 五 险 一 金 公 司 的 可 以 代 缴 吗,daijiao_detail,O B-city I-city I-city O O O O O O O O O O O O
苏 州 的 可 以 代 缴 吗,daijiao_detail,B-city I-city O O O O O O
是 不 是 需 要 代 缴,daijiao_detail,O O O O O O O
社 保 和 公 积 金 这 个 月 能 代 缴 的 吧,daijiao_detail,O O O O O O O O O O O O O O
社 保 代 缴 吗,daijiao_detail,O O O O O
请 问 如 果 五 月 份 我 找 到 工 作 了 不 用 你 们 代 缴 了 社 保 和 公 积 金 是 你 们 直 接 封 存,daijiao_detail,O O O O B-month I-month O O O O O O O O O O O O O O O O O O O O O O O O O O O
请 问 可 以 挂 公 司 代 缴 吗,daijiao_detail,O O O O O O O O O O
请 问 可 以 代 缴 上 海 社 保 吗,daijiao_detail,O O O O O O B-city I-city O O O
请 问 杭 州 公 积 金 代 缴 是 吧,daijiao_detail,O O B-city I-city O O O O O O O
请 问 代 缴 社 保 的 小 程 序 里 入 职 时 间 怎 么 填,daijiao_detail,O O O O O O O O O O O O O O O O O O
您 好 我 这 个 月 离 职 下 个 月 才 能 在 新 的 公 司 上 班 这 个 月 的 五 险 一 金 能 不 能 帮 我 代 缴 避 免 社 保 中 断 影 响 买 房 呢,daijiao_detail,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你 这 可 以 代 缴 杭 州 五 险 一 金 是 吗,daijiao_detail,O O O O O O O O O O O O O O
你 们 是 以 什 么 单 位 代 缴 的,daijiao_detail,O O O O 0 O O O O O O
你 可 以 帮 忙 代 交 社 保 是 吗,daijiao_detail,O O O O O O O O O O O
你 家 无 锡 有 代 缴 嘛,daijiao_detail,O O B-city I-city O O O O
你 好 请 问 如 果 选 择 你 们 代 缴 上 海 社 保 你 们 是 以 哪 家 公 司 名 义 缴 纳,daijiao_detail,O O O O O O O O O O O O B-city I-city O O O O O O O O O O O O O O
你 好 可 以 代 缴 杭 州 西 湖 区 的 吗,daijiao_detail,O O O O O O B-city I-city I-city I-city I-city O O
老 板 能 代 缴 湖 南 省 直 社 保 吗,daijiao_detail,O O O O O B-city I-city I-city O O O O
会 代 缴 税 吗,daijiao_detail,O O O O O
代 缴 是 怎 么 代 缴 的,daijiao_detail,O O O O O O O O
代 缴 期 间 我 能 用 医 保 卡 买 药 吗,daijiao_detail,O O O O O O O O O O O O O
代 缴 包 括 公 司 部 分 和 个 人 部 分 吗,daijiao_detail,O O O O O O O O O O O O O O
最 晚 什 么 时 候 下 单,deadline,O O B-number O O O O O
这 个 月 上 海 的 社 保 还 能 代 缴 吗,deadline,O O O B-city I-city O O O O O O O O
这 个 月 能 交 么,deadline,B-month I-month I-month O O O
需 要 缴 纳 五 月 份 社 保 和 公 积 金 最 迟 几 号 提 交,deadline,O O O O B-month I-month O O O O O O O O O O O O O
想 问 一 下 五 月 份 的 社 保 还 能 帮 忙 交 吗 杭 州,deadline,O O O O B-month I-month O O O O O O O O O O B-city I-city
现 在 能 汇 缴 么,deadline,O O O O O O
现 在 还 能 补 么,deadline,O O O O O O
五 月 可 以 交 吗,deadline,B-month I-month O O O O
五 月 还 能 缴 吗,deadline,B-month I-month O O O O
时 间 呢,deadline,O O O
社 保 还 可 以 交 吗,deadline,O O O O O O O
来 得 及 吧,deadline,O O O O
今 年 6 月 份 的 还 能 补 缴 的 吧,deadline,O O B-month I-month O O O O O O O O
截 止 日 期 是 什 么 时 候,deadline,O O O O O B-number O O O
几 号 汇 缴,deadline,O O O O
还 来 的 及 吗,deadline,O O O O O
还 可 以 补 缴 6 月 的 吗,deadline,O O O O O B-month I-month O O
本 月 已 经 晚 了 吧,deadline,B-month I-month O O O O O
6 月 份 最 晚 几 号 交,deadline,B-month O O O O O O O
5 月 确 定 可 以 交 上 是 吧,deadline,B-month I-month O O O O O O O O
5 月 份 杭 州 社 保 今 天 能 交 么,deadline,B-month I-month O B-city I-city O O O O O O O
5 月 份 的 最 晚 什 么 时 候 可 以 办 理,deadline,B-number O O O O O B-number O O O O O O O
5 月 份 的 没 法 交 了 吗,deadline,B-month I-month O O O O O O O
5 月 份 的 还 能 交 吗,deadline,B-month I-month O O O O O O
5 月 份 的 不 能 交 吗,deadline,B-month I-month O O O O O O
5 月 底 拍 是 不 是 也 来 得 及,deadline,B-number I-month O O O O O O O O O
5 月 的 五 险 现 在 可 以 缴 纳 吗,deadline,B-month I-month O O O O O O O O O O
4 月 份 还 能 缴 么,deadline,B-month I-month O O O O O
现 在 不 行,deny,O O O O
忘 了,deny,O O
哦 基 本 用 不 上,deny,O O O O O O
没 有 交,deny,O O O
没 有,deny,O O
不 用 啊,deny,O O O
不 是 首 次,deny,O O O O
不 买,deny,O O
不 会,deny,O O
不 对 了,deny,O O O
不 对 啊,deny,0 0 0
别 这 样,deny,O O O
这 样 不 行 吗,doublecheck,O O O O O
咋 回 事,doublecheck,O O O
是 社 保 和 公 积 金 要 各 付 40 服 务 费 嘛,doublecheck,O O O O O O O O O O B-fee O O O O
是 不 是 不 行 啊,doublecheck,O O O O O O
是 吧,doublecheck,O O
您 是 说 我 的,doublecheck,O O O O O
您 看 一 下,doublecheck,O O O O
您 看 下,doublecheck,O O O
你 这 边 看 一 下,doublecheck,O O O O 0 O
你 看 看,doublecheck,O O O
没 事 吧,doublecheck,O O O
可 以 么,doublecheck,O O O
可 以 吗,doublecheck,O O O
可 以 吧,doublecheck,O O O
看 得 到 么,doublecheck,O O O O
看 到 吗,doublecheck,O O O
行 吧,doublecheck,O O
对 吗,doublecheck,O O
对 吧,doublecheck,O O
都 是 杭 州 的 吧,doublecheck,O O B-city I-city O O
帮 我 看 一 下,doublecheck,O O O 0 O
帮 忙 看 下 哈,doublecheck,O O O O O
您 好 我 这 边 在 办 离 职 手 续 H R 那 边 需 要 我 填 一 个 公 积 金 的 处 理 方 式 如 果 我 后 续 准 备 在 你 们 这 边 办 理 代 缴 的 话 是 选 封 存 吗,fill_form,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我 再 试 试,get_back_later,O O O O
我 再 看 看,get_back_later,O O O O
我 去 问 问 我 有 个 朋 友 要 不 要 补 缴,get_back_later,O O O O O O O O O O O O O O
我 明 天 早 上 填 吧,get_back_later,O O O O O O O
我 考 虑 一 下,get_back_later,O O O O O
尽 快 回 复 你,get_back_later,O O O O O
好 我 先 确 认 下,get_back_later,O O O O O O
ok 好 了 我 联 系 你,get_back_later,O O O O O O O
公 积 金 贷 款,gongjijin_daikuan,0 0 0 O O
在 没,greet,O O
在 么,greet,O O
在 嘛,greet,O O
在 吗,greet,O O
有 人 么,greet,0 0 0
有 人 吗,greet,0 0 0
有 人 不,greet,O O O
人 呢,greet,O O
人 嗯,greet,O O
亲 在 吗,greet,0 0 0
您 好,greet,O O
你 好 在 吗,greet,0 0 0 0
你 好 我 想 问 一 下,greet,0 0 0 0 0 0 0
你 好 亲,greet,0 0 0
你 好,greet,O O
美 女,greet,O O
zai ma,greet,O O
hi,greet,0
hello,greet,O
直 接 拍 么,how_to_pai,O O O O
怎 么 拍 5 个 呢,how_to_pai,O O O B-quantity I-quantity O
怎 么 拍,how_to_pai,O O O
现 在 拍 吧,how_to_pai,O O O O
现 在 汇 缴 怎 么 拍,how_to_pai,O O O O O O O
我 怎 么 拍,how_to_pai,O O O O
是 在 淘 宝 在 拍 吗,how_to_pai,O O O O O O O
每 个 都 要 拍 吗,how_to_pai,O O O O O O
好 的 直 接 拍 吗,how_to_pai,O O O O O O
支 付 好 了,inform_done,O O O O
这 个 月 社 保 公 积 金 以 及 服 务 费 用 已 经 缴 纳,inform_done,O O O O O O O O O O O O O O O O O O
已 拍,inform_done,O O
已 经 支 付,inform_done,O O O O
已 经 全 部 付 了,inform_done,O O O O O O
已 经 付 款 了,inform_done,O O O O O
已 付 款,inform_done,O O O
已 付,inform_done,O O
信 息 提 交 了,inform_done,O O O O O
我 已 经 付 了,inform_done,O O O O O
我 下 单 了,inform_done,O O O O
我 提 交 完 毕,inform_done,O O O O O
我 提 交 了,inform_done,O O O O
我 提 交 好 了,inform_done,O O O O O
我 拍 了,inform_done,O O O
我 拍 好 了,inform_done,O O O O
我 交 五 险 一 金,inform_done,O O O O O O
我 付 完 款 了,inform_done,O O O O O
我 付 款 了,inform_done,O O O O
我 把 钱 付 了,inform_done,O O O O O
我 按 照 你 发 的 拍,inform_done,O O O O O O O
提 交 了,inform_done,O O O
提 交 好 了,inform_done,O O O O
提 交 成 功 了,inform_done,O O O O O
提 交 成 功,inform_done,O O O O
四 十 我 拍 了,inform_done,B-fee I-fee O O O
社 保 交 了,inform_done,O O O O
钱 付 过 了,inform_done,O O 0 0
拍 下 了,inform_done,O O 0
拍 了,inform_done,O O
拍 好 了,inform_done,O O 0
缴 吧 缴 吧 我 拍 了,inform_done,O O O O O O O
交 了,inform_done,O O
会 不 会 突 然 停 交 了 呢,inform_done,O O O O O O O O O
好 了 你 看 看,inform_done,O O O O O
公 积 金 收 到 了,inform_done,O O O O O O
付 了,inform_done,O O
付 好 钱 了,inform_done,O O O O
付 好 了,inform_done,O O O
都 支 付 过 了,inform_done,O 0 0 0 0
7 月 份 社 保 公 积 金 已 拍,inform_done,B-month I-month O O O O O O O O
[表情] 付 完 了 一 个,inform_done,B-image O O O B-number I-number
要 交 社 保,jiaona,O O O O
要 交 上 海 社 保,jiaona,O O B-city I-city O O
要 交 杭 州 社 保,jiaona,O O B-city I-city O O
要 交 广 州 社 保,jiaona,O O B-city I-city O O
要 交 成 都 社 保,jiaona,O O B-city I-city O O
要 交 北 京 社 保,jiaona,O O B-city I-city O O
要 付 社 保,jiaona,O O O O
需 要 缴 纳 社 保,jiaona,O O O O O O
需 要 缴 纳,jiaona,O O O O
需 要 交 社 保,jiaona,O O O O O
需 要 付 社 保,jiaona,O O O O O
想 在 广 州 教 社 保,jiaona,O O B-city I-city O O O
想 在 广 州 交 社 保,jiaona,O O B-city I-city O O O
现 在 想 交,jiaona,O O O O
我 要 缴 纳 社 保,jiaona,O O O O O O
我 要 交 杭 州 社 保,jiaona,O O O B-city I-city O O
我 想 问 问 我 在 北 京 交 社 保,jiaona,O O O O O O B-city I-city O O O
我 现 在 想 缴 纳 4 月 的,jiaona,O O O O O O B-month I-month O
社 保 缴 纳,jiaona,O O O O
社 保,jiaona,0 0
上 海 社 保,jiaona,B-city I-city O O
那 我 需 要 交 社 保,jiaona,O O O O O O O
那 就 单 纯 社 保 吧,jiaona,O O O O O O O
交 社 保,jiaona,O O O
交 上 海 社 保,jiaona,O B-city I-city O O
交 杭 州 社 保,jiaona,O B-city I-city O O
交 广 州 社 保,jiaona,O B-city I-city O O
交 成 都 社 保,jiaona,O B-city I-city O O
交 北 京 社 保,jiaona,O B-city I-city O O
只 能 一 起 交 吗,jiaona_details,O O O O 0 O
只 缴 纳 养 老 可 以 吗,jiaona_details,O O O B-part I-part O O O
只 交 社 保 可 以 吧,jiaona_details,O O O O O O O
长 沙 社 保 怎 么 交 的,jiaona_details,B-city I-city O O O O O O
怎 么 缴 纳 社 保 的,jiaona_details,O O O O O O O
怎 么 交,jiaona_details,0 0 0
在 苏 州 还 可 以 交 社 保 吗,jiaona_details,O B-city I-city O O O O O O O
要 交 社 保 可 以 吗,jiaona_details,O O O O O O O
要 交 上 海 社 保 可 以 吗,jiaona_details,O O B-city I-city O O O O O
要 交 杭 州 社 保 可 以 吗,jiaona_details,O O B-city I-city O O O O O
要 交 广 州 社 保 可 以 吗,jiaona_details,O O B-city I-city O O O O O
要 交 成 都 社 保 可 以 吗,jiaona_details,O O B-city I-city O O O O O
要 交 北 京 社 保 可 以 吗,jiaona_details,O O B-city I-city O O O O O
相 城 区 可 以 交 的 吗,jiaona_details,B-city I-city I-city O O O O O
相 城 区 的 可 以 交 吗,jiaona_details,B-city I-city I-city O O O O O
五 险 一 金 都 可 以 缴 纳 是 吗,jiaona_details,O O O O O O O O O O O
我 要 怎 么 缴 5 月 份 的 社 保 呢,jiaona_details,O O O O O B-month I-month O O O O O
我 的 社 保 之 前 一 直 在 你 们 这 里 交 的 我 想 换 个 旺 旺 I D 缴 纳 行 不 行 啊,jiaona_details,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
是 按 照 哪 个 标 准 来 缴 纳 的 啊,jiaona_details,0 0 0 0 0 0 0 0 0 0 0 0
社 保 怎 么 缴 纳,jiaona_details,O O O O O O
社 保 可 以 交 吗,jiaona_details,O O O O O O
社 保 还 是 不 可 以 交 吗,jiaona_details,O O O O O O O O O
社 保 单 位 有 交,jiaona_details,O O O O O O
社 保 不 想 断 可 以 在 你 这 里 交 吗,jiaona_details,O O O O O O O O O O O O O
上 海 社 保 可 以 交 吗,jiaona_details,B-city I-city O O O O O O
去 那 里 交,jiaona_details,O O O O
请 问 可 以 帮 忙 交 社 保 公 积 金 把 广 州 的,jiaona_details,O O O O O O O O O O O O O B-city I-city O
那 要 怎 么 交,jiaona_details,O O 0 O O
可 以 只 交 医 保 吗,jiaona_details,O O O O B-part I-part O
可 以 只 交 养 老 吗,jiaona_details,O O O O B-part I-part O
可 以 只 交 3 险 吗,jiaona_details,O O O O B-part I-part O
可 以 交 社 保 不,jiaona_details,O O O O O O
交 社 保 主 要 为 了 以 后 娃 娃 读 书 可 以 吧,jiaona_details,O O O O O O O O O O O O O O O O
交 社 保 可 以 吗,jiaona_details,O O O O O O
交 上 海 社 保 可 以 吗,jiaona_details,O B-city I-city O O O O O
交 杭 州 社 保 可 以 吗,jiaona_details,O B-city I-city O O O O O
交 广 州 社 保 可 以 吗,jiaona_details,O B-city I-city O O O O O
交 成 都 社 保 可 以 吗,jiaona_details,O B-city I-city O O O O O
交 北 京 社 保 可 以 吗,jiaona_details,O B-city I-city O O O O O
杭 州 社 保 可 以 交 吗,jiaona_details,B-city I-city O O O O O O
杭 州 5 月 份 社 保 能 代 缴 吗,jiaona_details,B-city I-city B-month I-month O O O O O O O
广 州 社 保 可 以 交 吗,jiaona_details,B-city I-city O O O O O O
光 缴 纳 公 积 金 可 以 吗,jiaona_details,O O O O O O O O O
公 积 金 交 吗,jiaona_details,O O O O O
成 都 社 保 可 以 交 吗,jiaona_details,B-city I-city O O O O O O
比 例 怎 么 缴 费 的,jiaona_details,O O O O O O O
北 京 社 保 可 以 交 吗,jiaona_details,B-city I-city O O O O O O
怎 么 下 单,liucheng,O O O O
怎 么 操 作,liucheng,0 0 0 0
怎 么 办 理,liucheng,0 0 0 0
先 下 单 对 吧,liucheng,O O O O O
我 需 要 做 什 么,liucheng,O O O O O O
你 们 帮 我 交 流 程 是 什 么 样 的,liucheng,O O O O O O O O O O O O
那 我 怎 么 下 单,liucheng,O O O O O O
流 程 再 给 我 下,liucheng,O O O O O O
流 程 是 什 么,liucheng,O O O 0 O
流 程 是,liucheng,O O O
流 程,liucheng,O O
参 保 流 程,liucheng,0 0 0 0
想 直 接 在 苏 州 开 户,luohu,O O O O B-city I-city O O
我 就 是 为 了 苏 州 落 户,luohu,O O O O O B-city I-city O O
请 问 可 以 开 吗,luohu_details,O O O O O O
可 以 苏 州 落 户 吗,luohu_details,O O B-city I-city O O O
怎 么 收 费 呢,payment_detail,0 0 0 0 0
怎 么 付 钱,payment_detail,0 0 0 0
怎 么 付 款,payment_detail,0 0 0 0
如 何 付 费,payment_detail,O O O O
可 以 后 付 吗,payment_detail,O O O O O
费 用 怎 么 走,payment_detail,O O O O O
费 用 怎 么 收 取,payment_detail,O O O O O O
有 咨 询 电 话 嘛,phone,O O O O O O
有 没 有 电 话 我 明 天 给 你 们 客 服 打 电 话 吧,phone,O O O O O O O O O O O O O O O O O
有 电 话 吗,phone,O O O O
有 电 话 可 以 直 接 沟 通 吗,phone,O O O O O O O O O O
我 想 电 话 咨 询,phone,O O O O O O
亲 你 们 这 边 有 电 话 咨 询 吗,phone,O O O O O O O O O O O
你 这 边 电 话 给 我 一 个,phone,O O O O O O O O O
你 有 电 话 么 我 电 话 跟 你 说 下 比 较 清 楚,phone,O O O O O O O O O O O O O O O O
你 们 有 电 话 么,phone,O O O O O O
你 好 这 边 咨 询 电 话 是 多 少 啊,phone,O O O O O O O O O O O O
你 电 话 多 少,phone,O O O O O
可 以 电 话 咨 询 吗,phone,O O O O O O O
可 以 电 话 联 系 下 吗,phone,O O O O O O O O
给 我 你 们 的 电 话,phone,O O O O O O O
方 便 电 话 咨 询 下 吗,phone,O O O O O O O O
方 便 电 话 吗,phone,O O O O O
电 话 号 码 是 多 少,phone,O O O O O O O
这 种 代 缴 没 有 什 么 问 题 吧,question_reliability,O O O O O O O O O O O
为 什 么,question_reply,O O O
为 啥 是 今 天,question_reply,O O O O O
为 啥,question_reply,O O
你 的 意 思 还 是 要 社 保 和 公 积 金 都 在 你 这 里 一 起 交 是 吧,question_reply,O O O O O O O O O O O O O O O O O O 0 O O O O
那 我 们 需 要 把 钱 转 到 你 们 帐 户 是 吗,question_reply,O O O O O O O O O O O O O O O
哪 里 啊,question_reply,O O O
40 为 啥 三 个,question_reply,B-fee O O B-quantity I-quantity
30 2 是 啥,question_reply,B-number B-number O O
19377 那 个 直 接 付 款 吗,question_reply,B-number O O O O O O O
163 是 什 么,question_reply,B-number O 0 O
您 吧 退 款 处 理 下,refund,O O O O O O O
那 我 先 退 了 吧,refund,O O O O O O
帮 我 退 款 吧,refund,O O O O O
请 问 如 果 五 月 份 我 找 到 工 作 了 不 用 你 们 代 缴 了 社 保 和 公 积 金 是 你 们 直 接 封 存,refund_details,O O O O B-month I-month O O O O O O O O O O O O O O O O O O O O O O O O O O O
4 5 月 的 240 的 预 调 基 的 钱 什 么 时 候 才 可 以 退,refund_details,B-number B-number O O B-number O O O O O O B-number O O O O O O O
[表情] 怎 么 退,refund_details,B-image O O O
一 直 进 不 去,report_issue,B-number O O O O
都 没 收 到,report_issue,O O O O
58 那 个 进 不 去,report_issue,B-company_name O O O O O
拍 哪 个 链 接 呢,request_link,O O O O O O
哦 给 个 链 接,request_link,O O O O O
能 给 个 链 接 吗,request_link,O O O O O O
链 接,request_link,O O
可 拍 了 吗,request_link,O O O O
给 我 链 接,request_link,O O O O
只 交 社 保 需 要 我 提 供 给 你 什 么,requirements,O O O O O O O O O O O 0 O
要 什 么 资 料 吗,requirements,O O O O O O
要 啥 材 料 吗,requirements,O O O O O
要 哪 些 材 料,requirements,O O O O O
需 要 我 提 供 什 东 西 吗,requirements,O O O O O O O O O
需 要 提 交 哪 些 资 料,requirements,O O O O O O O O
需 要 提 供 什 么 资 料 吗,requirements,O O O O O O O O O
需 要 提 供 什 么 资 料,requirements,O O O O 0 O O O
需 要 什 么 资 料,requirements,O O 0 O O O
需 要 什 么 信 息,requirements,O O 0 O O O
需 要 什 么 吗,requirements,O O O O O
